date,block,bps,txps,mgasps,peers,time,bps_avg
23/06/20 11:22,509,50.89,0,0,1,0,
23/06/20 11:22,509,0,0,0,1,5,
23/06/20 11:22,509,0,0,0,1,10,
23/06/20 11:22,509,0,0,0,1,15,
23/06/20 11:22,509,0,0,0,1,20,
23/06/20 11:22,509,0,0,0,1,25,
23/06/20 11:22,509,0,0,0,1,30,
23/06/20 11:23,509,0,0,0,1,35,
23/06/20 11:23,509,0,0,0,1,40,
23/06/20 11:23,509,0,0,0,1,45,
23/06/20 11:23,509,0,0,0,1,50,
23/06/20 11:23,509,0,0,0,1,55,
23/06/20 11:23,509,0,0,0,1,60,
23/06/20 11:23,509,0,0,0,1,65,
23/06/20 11:23,509,0,0,0,2,70,
23/06/20 11:23,6548,1207.56,1,0,2,75,
23/06/20 11:23,14863,1660.53,26,11.3,3,80,
23/06/20 11:23,23464,1723,52.4,14.4,3,85,
23/06/20 11:23,32645,1836,20.2,8.6,3,90,
23/06/20 11:24,40987,1668.4,41.2,34.6,3,95,
23/06/20 11:24,48948,1591.16,53.8,25.8,3,100,
23/06/20 11:24,56300,1471.09,8.4,2.3,3,105,
23/06/20 11:24,63739,1487.4,16,2.7,3,110,
23/06/20 11:24,71594,1570.14,29,9.2,3,115,
23/06/20 11:24,79561,1593.2,50.8,11.8,4,120,
23/06/20 11:24,86160,1320,54.8,15.3,4,125,
23/06/20 11:24,93251,1417.63,50.2,12.8,4,130,
23/06/20 11:24,102764,1903.36,36.4,15.5,4,135,
23/06/20 11:24,111101,1667.4,58,14.4,4,140,
23/06/20 11:24,118156,1411.2,61,29.2,4,145,
23/06/20 11:24,124489,1266.35,188.4,67.2,4,150,
23/06/20 11:25,133673,1834.93,76.3,15.8,4,155,
23/06/20 11:25,141937,1651.35,63.3,17.4,4,160,
23/06/20 11:25,148340,1282.08,123.1,46.6,4,165,
23/06/20 11:25,153818,1095.2,160.8,57.7,4,170,
23/06/20 11:25,161456,1527.19,108.4,34.4,4,175,
23/06/20 11:25,168672,1442.71,106.2,26.5,4,180,
23/06/20 11:25,176416,1548.8,51.2,15.1,4,185,
23/06/20 11:25,184579,1632.8,63.8,8.8,4,190,
