Jun 22 11:03:40.646 WARN Ethereum 2.0 is pre-release. This software is experimental.
Jun 22 11:03:40.646 INFO Using default testnet                   default: witti-v0-11-3
Jun 22 11:03:40.647 INFO Data directory initialised              datadir: /home/user/.lighthouse
Jun 22 11:03:40.718 INFO Starting from known genesis state       service: beacon
Jun 22 11:03:40.820 INFO Block production disabled               reason: no eth1 backend configured
Jun 22 11:03:40.826 INFO Beacon chain initialized                head_slot: 0, head_block: 0x19aa…ba12, head_state: 0x773c…5b17, service: beacon
Jun 22 11:03:40.827 INFO Timer service started                   service: node_timer
Jun 22 11:03:40.827 INFO Libp2p Service                          peer_id: PeerId("16Uiu2HAmCENfrPjesQH5NWenLtaVVuRSBYXrfNZoaRKmiQe3mGZC"), service: libp2p
Jun 22 11:03:40.828 INFO ENR Initialised                         tcp: Some(9000), udp: None, ip: None, id: 0x2940..cb6b, seq: 1, enr: enr:-KO4QN45jNzggzB8eWhXp8g144NnZHhgApwJFsp3n7scuZe_GDq5i119zPHdkeVpa5Fhul3WspCLwNlH7K15lQdOBxABh2F0dG5ldHOIAAAAAAAAAACEZXRoMpD2d10HAAABE___________gmlkgnY0iXNlY3AyNTZrMaEC-bG3lZ_IqJYQEkRr1OJxY8p44nIfHmdBPCjKgJzwi8eDdGNwgiMo, service: libp2p
Jun 22 11:03:40.829 INFO Listening established                   address: /ip4/0.0.0.0/tcp/9000/p2p/16Uiu2HAmCENfrPjesQH5NWenLtaVVuRSBYXrfNZoaRKmiQe3mGZC, service: libp2p
Jun 22 11:03:40.830 INFO Subscribed to topics                    topics: [BeaconBlock, BeaconAggregateAndProof, VoluntaryExit, ProposerSlashing, AttesterSlashing], service: libp2p
Jun 22 11:03:40.831 INFO HTTP API started                        port: 5052, address: 127.0.0.1, service: http
Jun 22 11:03:40.908 INFO Sync state updated                      new_state: Syncing Finalized Chain, old_state: Stalled, service: sync
Jun 22 11:03:40.931 INFO Address updated                         udp_port: 9000, ip: 51.15.116.226, service: libp2p
Jun 22 11:03:54.001 INFO Syncing                                 est_time: --, speed: --, distance: 189280 slots (3 weeks 5 days), peers: 4, service: slot_notifier
Jun 22 11:04:06.002 INFO Syncing                                 est_time: 42 mins, speed: 74.67 slots/sec, distance: 188385 slots (3 weeks 5 days), peers: 4, service: slot_notifier
Jun 22 11:04:13.117 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmCVbB3Mp2H4sAao5mNRggPiQAPjyLqyzmovLBeA6K8x2C, service: libp2p
Jun 22 11:04:13.469 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmNL6L5nmaDeQun8TRUpSQNERrswEsyh1FAAuiqTXZ2E5T, service: libp2p
Jun 22 11:04:13.824 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmRKNdBYETViNzz6kvxy8qETdDa6ikDw5MBNfuYDhKLuef, service: libp2p
Jun 22 11:04:14.110 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmHYwuhqSqiwS5dMBaaJPk28Lo6K9DJhpgBdMWNV1C4mVH, service: libp2p
Jun 22 11:04:18.001 INFO Syncing                                 est_time: 40 mins, speed: 77.34 slots/sec, distance: 187426 slots (3 weeks 5 days), peers: 13, service: slot_notifier
Jun 22 11:04:30.001 INFO Syncing                                 est_time: 44 mins, speed: 69.34 slots/sec, distance: 186787 slots (3 weeks 4 days), peers: 14, service: slot_notifier
Jun 22 11:04:42.001 INFO Syncing                                 est_time: 49 mins, speed: 62.67 slots/sec, distance: 186276 slots (3 weeks 4 days), peers: 14, service: slot_notifier
Jun 22 11:04:54.001 INFO Syncing                                 est_time: 58 mins, speed: 53.34 slots/sec, distance: 185829 slots (3 weeks 4 days), peers: 14, service: slot_notifier
Jun 22 11:05:06.001 INFO Syncing                                 est_time: 1 hrs 12 mins, speed: 42.67 slots/sec, distance: 185382 slots (3 weeks 4 days), peers: 14, service: slot_notifier
Jun 22 11:05:17.158 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmCVbB3Mp2H4sAao5mNRggPiQAPjyLqyzmovLBeA6K8x2C, service: libp2p
Jun 22 11:05:17.259 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmDv9jypCFULNtocCEFsNwSJmKbPvMNT1jJ2jHzVwXuJF7, service: libp2p
Jun 22 11:05:17.454 WARN Disconnecting and banning peer          timeout: 30s, peer_id: 16Uiu2HAmHu4WjwoULM5iovvtdgGkB96Fi3iYbPAUKT6UN1tsJg1f, service: libp2p
