2020-06-23 11:20:16  Starting OpenEthereum/v3.0.1-stable-8ca8089e9b-20200601/x86_64-unknown-linux-gnu/rustc1.43.1
2020-06-23 11:20:16  Keys path /home/user/.local/share/io.parity.ethereum/keys/goerli
2020-06-23 11:20:16  DB path /home/user/.local/share/io.parity.ethereum/chains/goerli/db/b1d518969eab529d
2020-06-23 11:20:16  State DB configuration: fast
2020-06-23 11:20:16  Operating mode: active
2020-06-23 11:20:16  Configured for Görli Testnet using Clique engine
2020-06-23 11:20:16  Updater is deprecated and may be removed in a future release. Please see #11696 for details:
https://github.com/openethereum/openethereum/issues/11696
2020-06-23 11:20:21  Public node URL: enode://8c5c4dec9a0728c7058d3c29698bae888adc244e443cebc21f3d708a20751511acbf98a52b5e5ea472f8715c658913e8084123461fd187a4980a0600420b0791@10.67.38.7:30303
2020-06-23 11:20:46     0/25 peers   920 bytes chain   91 KiB db  0 bytes queue 752 bytes sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:21:16     0/25 peers   920 bytes chain   91 KiB db  0 bytes queue 752 bytes sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:21:46     0/25 peers   920 bytes chain   91 KiB db  0 bytes queue 752 bytes sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:22:16     0/25 peers   920 bytes chain   91 KiB db  0 bytes queue 752 bytes sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:22:26  Syncing     #509 0xdf34…b533    50.89 blk/s    0.0 tx/s    0.0 Mgas/s      0+    0 Qed      #509    1/25 peers    171 KiB chain  166 KiB db  0 bytes queue  263 KiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:22:31  Syncing     #509 0xdf34…b533     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    0 Qed      #509    1/25 peers    171 KiB chain  166 KiB db  0 bytes queue  345 KiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:22:36  Syncing     #509 0xdf34…b533     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    0 Qed      #509    1/25 peers    171 KiB chain  166 KiB db  0 bytes queue  912 KiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:22:41  Syncing     #509 0xdf34…b533     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    0 Qed      #509    1/25 peers    171 KiB chain  166 KiB db  0 bytes queue  923 KiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:22:46  Syncing     #509 0xdf34…b533     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    0 Qed      #509    1/25 peers    171 KiB chain  166 KiB db  0 bytes queue  934 KiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:22:51  Syncing     #509 0xdf34…b533     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    0 Qed      #509    1/25 peers    171 KiB chain  166 KiB db  0 bytes queue    1 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
2020-06-23 11:22:56  Syncing     #509 0xdf34…b533     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    0 Qed      #509    1/25 peers    171 KiB chain  166 KiB db  0 bytes queue    1 MiB sync  RPC:  0 conn,    0 req/s,    0 µs
